Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Sustainable Agriculture Program in Germany #799,Sustainable Agriculture Program,Germany,Earth Guardians,1713,2023,2032,0.24,0.96,25795,Government,72,Wind,264590,no,65,International,1230947,48189,569
Waste Management Plan in USA #800,Waste Management Plan,USA,Green Earth Alliance,264,2018,2029,0.63,0.92,58002,Government,72,Geothermal,492331,yes,69,National,1533376,10122,145
Climate Education Program in France #801,Climate Education Program,France,Eco Innovation Lab,265,2014,2027,0.55,0.81,59089,Private Sector,83,None,424154,yes,72,International,185775,5575,835
Renewable Energy Project in India #802,Renewable Energy Project,India,Sustainable Future Org,1501,2010,2015,0.75,0.07,46511,Private Sector,63,None,403321,no,64,National,970474,399,313
Waste Management Plan in Brazil #803,Waste Management Plan,Brazil,Earth Guardians,136,2011,2022,0.48,0.31,61114,International Aid,75,Solar,191101,yes,68,International,1760015,1211,837
Energy Efficiency Campaign in Canada #804,Energy Efficiency Campaign,Canada,Earth Guardians,1510,2018,2033,0.49,0.9,5276,International Aid,82,Bioenergy,314234,no,100,National,1439639,36172,424
Energy Efficiency Campaign in Germany #805,Energy Efficiency Campaign,Germany,Earth Guardians,1078,2023,2034,0.99,0.48,3662,International Aid,62,Solar,346205,no,88,International,1918679,9661,244
Waste Management Plan in France #806,Waste Management Plan,France,Eco Warriors,981,2014,2022,0.61,0.14,80234,Private Sector,92,Hydropower,16994,yes,69,International,1496174,38631,884
Sustainable Agriculture Program in Canada #807,Sustainable Agriculture Program,Canada,Clean Energy Foundation,1575,2020,2028,0.08,0.4,19037,Government,87,Hydropower,434299,yes,85,International,1340175,15194,951
Emission Control Program in UK #808,Emission Control Program,UK,Eco Warriors,803,2024,2029,0.78,0.68,28234,International Aid,54,Solar,38435,no,85,National,516201,28559,945
Waste Management Plan in Canada #809,Waste Management Plan,Canada,Clean Energy Foundation,1421,2012,2024,0.06,0.84,48890,International Aid,71,Geothermal,247742,no,63,National,1214034,37867,223
Waste Management Plan in USA #810,Waste Management Plan,USA,Eco Warriors,1515,2019,2026,0.52,0.53,27481,International Aid,92,Hydropower,142143,yes,60,National,985753,35328,63
Water Conservation Project in USA #811,Water Conservation Project,USA,Clean Energy Foundation,955,2024,2035,0.05,0.75,63686,Private Sector,87,Solar,184044,yes,63,National,20343,17017,431
Energy Efficiency Campaign in Japan #812,Energy Efficiency Campaign,Japan,Climate Action Network,1566,2018,2023,0.94,0.53,80258,Government,57,None,226426,no,72,International,738895,18274,258
Energy Efficiency Campaign in China #813,Energy Efficiency Campaign,China,Eco Innovation Lab,454,2014,2027,0.31,0.66,19566,Private Sector,62,Bioenergy,65025,yes,53,National,1960848,44629,940
Renewable Energy Project in Canada #814,Renewable Energy Project,Canada,Green Growth Initiative,1863,2020,2028,0.06,0.61,41858,Government,98,Bioenergy,449403,yes,71,International,1943223,31075,691
Climate Education Program in Australia #815,Climate Education Program,Australia,Eco Warriors,382,2013,2018,0.96,0.82,70828,Private Sector,76,Wind,127383,yes,94,National,1486252,37376,352
Waste Management Plan in Canada #816,Waste Management Plan,Canada,Eco Warriors,493,2023,2033,0.29,0.81,8782,Private Sector,86,Wind,73016,no,69,National,1516105,18158,682
Waste Management Plan in Australia #817,Waste Management Plan,Australia,Green Growth Initiative,115,2012,2026,0.06,0.88,86810,Private Sector,54,Wind,190302,no,66,International,1304885,5308,721
Emission Control Program in UK #818,Emission Control Program,UK,Green Growth Initiative,939,2022,2027,0.7,1,56667,International Aid,88,Hydropower,329444,no,54,International,1071526,12783,690
Green Infrastructure Development in Brazil #819,Green Infrastructure Development,Brazil,Clean Energy Foundation,662,2023,2029,0.1,0.13,32790,Government,86,Geothermal,213294,yes,85,National,1007445,41599,299
Emission Control Program in China #820,Emission Control Program,China,Clean Energy Foundation,579,2022,2036,0.49,0.41,50772,International Aid,86,Wind,253062,no,82,International,851279,38711,128
Waste Management Plan in Japan #821,Waste Management Plan,Japan,Clean Energy Foundation,1573,2011,2023,0.79,0.19,39482,Private Sector,51,None,230400,yes,77,International,926738,21852,915
Water Conservation Project in Japan #822,Water Conservation Project,Japan,Clean Energy Foundation,364,2024,2035,0.73,0.85,67549,Government,67,Wind,333455,yes,78,International,82685,49272,902
Clean Transportation Initiative in Brazil #823,Clean Transportation Initiative,Brazil,Green Growth Initiative,1493,2013,2021,0.71,0.14,61924,Government,65,Hydropower,424662,no,72,International,1127240,18988,190
Sustainable Agriculture Program in Canada #824,Sustainable Agriculture Program,Canada,Eco Innovation Lab,1148,2015,2028,0.99,0.92,66367,Government,59,None,201710,yes,98,International,1296998,30791,771
Green Infrastructure Development in Japan #825,Green Infrastructure Development,Japan,Climate Action Network,1015,2013,2022,0.95,0.2,11442,International Aid,84,None,126549,yes,58,International,1360474,16789,750
Renewable Energy Project in Japan #826,Renewable Energy Project,Japan,Green Growth Initiative,1641,2011,2025,0.33,0.05,33659,Government,70,Hydropower,457415,yes,56,International,1036097,31961,958
Renewable Energy Project in UK #827,Renewable Energy Project,UK,Green Growth Initiative,1986,2012,2019,0.68,0.28,50145,Private Sector,54,Bioenergy,288317,yes,93,International,1535406,47259,450
Water Conservation Project in France #828,Water Conservation Project,France,Zero Emissions Initiative,1176,2017,2028,0.05,0.37,49859,International Aid,78,Bioenergy,239116,yes,54,International,777143,17654,809
Renewable Energy Project in India #829,Renewable Energy Project,India,Sustainable Future Org,1523,2018,2029,0.89,0.52,56931,Private Sector,50,None,80877,no,50,National,1481872,17774,467
Clean Transportation Initiative in Brazil #830,Clean Transportation Initiative,Brazil,Green Earth Alliance,1632,2010,2018,0.81,0.25,88321,Government,52,Geothermal,243439,no,93,International,1589987,43874,25
Clean Transportation Initiative in USA #831,Clean Transportation Initiative,USA,Eco Warriors,497,2015,2022,0.28,0.54,31334,Government,89,Solar,453161,yes,91,International,128390,29238,881
Climate Education Program in USA #832,Climate Education Program,USA,Zero Emissions Initiative,1063,2018,2026,0.16,0.56,85089,International Aid,91,Solar,327198,yes,91,International,1376346,3421,318
Energy Efficiency Campaign in USA #833,Energy Efficiency Campaign,USA,Green Earth Alliance,393,2020,2034,0.27,0.09,99026,Private Sector,85,Solar,70589,yes,67,International,1804488,30158,404
Renewable Energy Project in Brazil #834,Renewable Energy Project,Brazil,Climate Action Network,1075,2014,2021,0.07,0.25,75081,Government,71,Wind,369490,no,53,International,1694377,47565,910
Green Infrastructure Development in Brazil #835,Green Infrastructure Development,Brazil,Eco Innovation Lab,1693,2015,2024,0.32,0.72,63341,International Aid,70,Hydropower,414888,yes,51,International,1259415,40232,54
Energy Efficiency Campaign in UK #836,Energy Efficiency Campaign,UK,Sustainable Future Org,1371,2021,2034,0.52,0.66,93556,International Aid,96,Wind,445985,yes,63,International,775157,38211,790
Water Conservation Project in UK #837,Water Conservation Project,UK,Green Growth Initiative,1542,2017,2025,0.64,0.99,19595,International Aid,79,Geothermal,152521,no,60,International,899886,17066,326
Reforestation Initiative in France #838,Reforestation Initiative,France,Green Earth Alliance,488,2023,2035,0.1,0.69,84207,International Aid,68,Wind,28606,yes,57,International,108111,27222,701
Waste Management Plan in India #839,Waste Management Plan,India,Zero Emissions Initiative,1753,2018,2024,0.9,0.49,70673,Private Sector,74,None,211109,yes,71,International,684056,31984,208
Renewable Energy Project in France #840,Renewable Energy Project,France,Eco Warriors,849,2020,2030,0.49,0.23,31009,Government,71,Bioenergy,309046,no,90,International,1238713,19880,722
Clean Transportation Initiative in Australia #841,Clean Transportation Initiative,Australia,Eco Warriors,1419,2010,2016,1,0.34,50484,International Aid,96,Wind,323676,yes,67,National,1233219,32517,113
Green Infrastructure Development in China #842,Green Infrastructure Development,China,Sustainable Future Org,1018,2011,2020,0.74,0.23,55242,Private Sector,58,Hydropower,298096,yes,55,International,211131,45524,184
Waste Management Plan in China #843,Waste Management Plan,China,Sustainable Future Org,1052,2013,2028,0.54,0.84,79346,International Aid,80,Wind,480110,no,98,National,1701799,3106,109
Emission Control Program in Brazil #844,Emission Control Program,Brazil,Global Renewable Group,1790,2011,2026,0.29,0.1,4314,Private Sector,97,None,203411,yes,55,International,505450,19032,185
Energy Efficiency Campaign in Brazil #845,Energy Efficiency Campaign,Brazil,Eco Innovation Lab,1407,2015,2027,0.11,0.4,77045,International Aid,73,Wind,394805,no,90,National,346682,31613,56
Clean Transportation Initiative in Brazil #846,Clean Transportation Initiative,Brazil,Eco Innovation Lab,62,2018,2031,0.2,0.47,41889,Government,54,Hydropower,181070,yes,71,National,1576282,8574,960
Reforestation Initiative in USA #847,Reforestation Initiative,USA,Global Renewable Group,1346,2012,2019,0.48,0.43,29614,International Aid,58,Bioenergy,170335,yes,93,National,1503054,33787,687
Energy Efficiency Campaign in Brazil #848,Energy Efficiency Campaign,Brazil,Earth Guardians,398,2013,2018,0.13,0.16,57147,Private Sector,57,Hydropower,69098,yes,69,National,1765887,11193,665
Water Conservation Project in Canada #849,Water Conservation Project,Canada,Zero Emissions Initiative,239,2023,2030,0.64,0.82,39082,Private Sector,98,Solar,230222,yes,96,National,1328582,14422,260
Water Conservation Project in USA #850,Water Conservation Project,USA,Climate Action Network,686,2017,2028,0.18,0.98,28236,Private Sector,70,Hydropower,186541,yes,61,National,646596,28616,695
Sustainable Agriculture Program in UK #851,Sustainable Agriculture Program,UK,Climate Action Network,348,2019,2027,0.08,0.08,76024,Private Sector,60,None,12635,no,97,National,557352,36685,845
Waste Management Plan in Germany #852,Waste Management Plan,Germany,Climate Action Network,1147,2010,2020,0.31,0.76,41883,Private Sector,60,Bioenergy,86853,yes,89,National,281013,20920,548
Climate Education Program in Japan #853,Climate Education Program,Japan,Green Growth Initiative,137,2016,2029,0.33,0.52,77715,International Aid,85,Solar,77380,no,78,National,784124,33353,672
Waste Management Plan in Australia #854,Waste Management Plan,Australia,Sustainable Future Org,60,2021,2031,0.21,0.44,89038,International Aid,57,Solar,364413,yes,79,National,1965485,48493,539
Energy Efficiency Campaign in Japan #855,Energy Efficiency Campaign,Japan,Eco Innovation Lab,1537,2010,2018,0.97,0.86,34903,International Aid,84,None,448381,yes,81,National,395480,26375,113
Waste Management Plan in France #856,Waste Management Plan,France,Eco Warriors,501,2015,2027,0.96,0.5,34638,International Aid,67,Geothermal,386429,yes,76,National,111717,34017,959
Emission Control Program in Australia #857,Emission Control Program,Australia,Zero Emissions Initiative,1815,2017,2029,0.97,0.95,90768,Government,81,Solar,226827,no,79,International,10156,7268,507
Waste Management Plan in UK #858,Waste Management Plan,UK,Clean Energy Foundation,903,2016,2022,0.68,0.98,69188,International Aid,85,Hydropower,112459,yes,83,National,1937207,39358,743
Reforestation Initiative in France #859,Reforestation Initiative,France,Climate Action Network,833,2014,2029,0.37,0.05,6563,Government,91,None,155878,yes,69,International,1640620,23695,379
Renewable Energy Project in China #860,Renewable Energy Project,China,Eco Innovation Lab,1555,2010,2024,0.32,0.28,30403,Private Sector,100,Bioenergy,265408,yes,94,International,1696420,3837,899
Reforestation Initiative in USA #861,Reforestation Initiative,USA,Sustainable Future Org,499,2019,2025,0.49,0.97,43651,International Aid,77,None,353523,no,57,National,1220051,31220,383
Renewable Energy Project in Australia #862,Renewable Energy Project,Australia,Earth Guardians,542,2014,2023,0.47,0.62,71248,Private Sector,51,Hydropower,446799,no,63,International,1400978,9148,238
Sustainable Agriculture Program in Japan #863,Sustainable Agriculture Program,Japan,Earth Guardians,1655,2023,2035,0.38,0.3,56152,Private Sector,91,Geothermal,280329,no,85,International,1271690,47368,978
Climate Education Program in USA #864,Climate Education Program,USA,Zero Emissions Initiative,1091,2017,2023,0.28,0.18,7879,Private Sector,88,Solar,125278,no,80,National,271531,805,87
Sustainable Agriculture Program in UK #865,Sustainable Agriculture Program,UK,Eco Warriors,1103,2011,2023,0.4,0.79,20442,Government,51,Bioenergy,99552,yes,67,National,1248394,39533,183
Clean Transportation Initiative in France #866,Clean Transportation Initiative,France,Climate Action Network,1818,2019,2029,0.35,0.84,58072,International Aid,70,Hydropower,397180,yes,88,International,1125603,22445,842
Clean Transportation Initiative in Germany #867,Clean Transportation Initiative,Germany,Climate Action Network,197,2013,2018,0.89,0.15,64089,International Aid,85,Bioenergy,388655,no,60,National,438985,45083,955
Waste Management Plan in Germany #868,Waste Management Plan,Germany,Green Growth Initiative,1393,2012,2021,0.68,0.65,83114,Private Sector,100,Hydropower,4212,no,55,International,1061253,4911,665
Waste Management Plan in UK #869,Waste Management Plan,UK,Climate Action Network,1072,2021,2027,0.71,0.2,17565,Private Sector,71,Bioenergy,271470,yes,81,International,1064739,43537,764
Sustainable Agriculture Program in Brazil #870,Sustainable Agriculture Program,Brazil,Clean Energy Foundation,1943,2019,2027,0.84,0.65,11695,International Aid,65,Wind,402725,no,90,International,668895,16534,997
Renewable Energy Project in India #871,Renewable Energy Project,India,Green Growth Initiative,1628,2012,2022,0.12,0.45,25570,Government,59,Bioenergy,213564,no,83,International,1453986,20549,488
Waste Management Plan in France #872,Waste Management Plan,France,Global Renewable Group,1185,2024,2037,0.76,0.72,26092,Private Sector,50,None,113375,yes,88,International,670417,38672,155
Energy Efficiency Campaign in USA #873,Energy Efficiency Campaign,USA,Zero Emissions Initiative,1876,2018,2032,0.71,0.67,35444,International Aid,87,Geothermal,424391,no,74,National,1241442,14499,237
Reforestation Initiative in Germany #874,Reforestation Initiative,Germany,Eco Warriors,518,2021,2030,0.79,0.33,59826,Government,92,Hydropower,374647,yes,70,National,13997,49811,655
Green Infrastructure Development in USA #875,Green Infrastructure Development,USA,Global Renewable Group,1367,2016,2025,0.79,1,8395,Private Sector,59,Bioenergy,297875,no,64,International,365044,22625,354
Clean Transportation Initiative in USA #876,Clean Transportation Initiative,USA,Green Growth Initiative,1750,2023,2032,0.57,0.45,42244,International Aid,57,Geothermal,267056,no,62,International,708656,26808,966
Water Conservation Project in China #877,Water Conservation Project,China,Eco Innovation Lab,170,2016,2021,0.61,0.9,88264,Private Sector,54,Wind,132037,no,82,National,1706075,20976,404
Climate Education Program in Brazil #878,Climate Education Program,Brazil,Zero Emissions Initiative,119,2023,2035,0.2,1,1872,Private Sector,61,Bioenergy,285598,no,93,International,1960468,47574,301
Clean Transportation Initiative in China #879,Clean Transportation Initiative,China,Green Earth Alliance,721,2014,2020,0.44,0.68,9099,International Aid,83,Solar,414893,no,83,International,88253,6332,202
Reforestation Initiative in Canada #880,Reforestation Initiative,Canada,Green Growth Initiative,946,2013,2027,0.57,0.71,37415,Government,50,Bioenergy,153226,no,84,National,954638,42763,546
Reforestation Initiative in UK #881,Reforestation Initiative,UK,Global Renewable Group,882,2024,2037,0.56,0.7,10598,Government,54,Solar,105444,no,75,National,1899421,19666,512
Clean Transportation Initiative in USA #882,Clean Transportation Initiative,USA,Eco Innovation Lab,811,2015,2021,0.52,0.15,40380,Government,71,Geothermal,265455,yes,94,National,935127,27678,308
Water Conservation Project in Canada #883,Water Conservation Project,Canada,Climate Action Network,1432,2025,2034,0.07,0.18,57377,Private Sector,81,Solar,156516,yes,68,International,424960,46955,235
Clean Transportation Initiative in India #884,Clean Transportation Initiative,India,Eco Warriors,555,2020,2034,0.98,0.3,11911,Government,91,Hydropower,159025,no,64,International,149848,45902,244
Energy Efficiency Campaign in Germany #885,Energy Efficiency Campaign,Germany,Sustainable Future Org,1640,2011,2019,1,0.98,54722,Private Sector,97,Hydropower,414867,no,56,National,804143,13056,706
Waste Management Plan in Japan #886,Waste Management Plan,Japan,Global Renewable Group,994,2022,2037,1,0.49,4226,Private Sector,77,Bioenergy,134487,yes,50,International,1314226,14279,537
Climate Education Program in Canada #887,Climate Education Program,Canada,Global Renewable Group,1815,2018,2029,0.9,0.75,74273,International Aid,82,Wind,48130,no,88,National,1764339,22144,846
Emission Control Program in Australia #888,Emission Control Program,Australia,Clean Energy Foundation,1589,2020,2035,0.93,0.6,88045,Government,99,Solar,483434,yes,52,National,1747747,39114,106
Green Infrastructure Development in USA #889,Green Infrastructure Development,USA,Earth Guardians,77,2025,2032,0.83,0.22,55819,Private Sector,89,Wind,61619,no,52,International,837908,47328,809
Energy Efficiency Campaign in USA #890,Energy Efficiency Campaign,USA,Climate Action Network,1597,2014,2019,0.62,0.59,83963,International Aid,89,None,401833,yes,90,International,231822,46929,933
Energy Efficiency Campaign in Germany #891,Energy Efficiency Campaign,Germany,Clean Energy Foundation,1812,2024,2036,0.89,0.69,28038,Private Sector,91,Solar,36471,no,65,International,754723,23689,895
Climate Education Program in India #892,Climate Education Program,India,Climate Action Network,1379,2021,2034,0.06,0.94,55114,International Aid,72,Wind,278204,yes,93,National,53637,43685,811
Sustainable Agriculture Program in India #893,Sustainable Agriculture Program,India,Clean Energy Foundation,686,2010,2016,0.15,0.56,64254,Government,53,Geothermal,345320,yes,64,National,1576249,19180,106
Climate Education Program in UK #894,Climate Education Program,UK,Clean Energy Foundation,343,2018,2023,0.25,0.64,50246,Government,98,Hydropower,10926,yes,99,International,1804585,45990,6
Energy Efficiency Campaign in Brazil #895,Energy Efficiency Campaign,Brazil,Clean Energy Foundation,770,2021,2035,0.76,0.44,13385,International Aid,53,Wind,476403,no,85,International,39913,29479,354
Emission Control Program in India #896,Emission Control Program,India,Eco Warriors,1361,2020,2027,0.64,0.17,55530,International Aid,86,Hydropower,82583,yes,88,International,1839426,10045,500
Sustainable Agriculture Program in Germany #897,Sustainable Agriculture Program,Germany,Eco Innovation Lab,897,2025,2034,0.96,0.57,92520,Private Sector,92,Wind,56305,yes,58,National,1665783,22254,613
Clean Transportation Initiative in Brazil #898,Clean Transportation Initiative,Brazil,Clean Energy Foundation,1509,2017,2031,0.71,0.21,97085,International Aid,96,Wind,129185,no,51,National,699492,35904,997
Green Infrastructure Development in France #899,Green Infrastructure Development,France,Climate Action Network,319,2017,2024,0.15,0.15,26088,Private Sector,50,None,304174,no,92,National,1697936,33925,797
Energy Efficiency Campaign in India #900,Energy Efficiency Campaign,India,Climate Action Network,1534,2023,2037,0.95,0.77,9187,Private Sector,60,Hydropower,465149,no,76,International,1679103,30653,689
Sustainable Agriculture Program in USA #901,Sustainable Agriculture Program,USA,Green Earth Alliance,477,2021,2032,0.91,0.25,81534,International Aid,63,None,288688,yes,71,National,677510,13288,44
Sustainable Agriculture Program in India #902,Sustainable Agriculture Program,India,Climate Action Network,984,2016,2023,0.25,0.19,85758,International Aid,96,Hydropower,25550,yes,65,National,243684,41238,415
Climate Education Program in Brazil #903,Climate Education Program,Brazil,Climate Action Network,263,2010,2025,0.59,0.8,86571,Government,70,Wind,244853,yes,70,International,855385,31449,964
Green Infrastructure Development in Japan #904,Green Infrastructure Development,Japan,Eco Innovation Lab,1986,2015,2023,0.85,0.65,27646,Private Sector,87,Bioenergy,486399,no,92,National,1505446,42852,679
Waste Management Plan in Germany #905,Waste Management Plan,Germany,Clean Energy Foundation,1918,2014,2020,0.33,0.13,22988,Government,78,None,478613,no,77,National,814484,9530,638
Reforestation Initiative in Germany #906,Reforestation Initiative,Germany,Sustainable Future Org,737,2015,2021,0.59,0.7,71045,Government,90,Geothermal,91338,yes,81,International,1160618,33606,105
Reforestation Initiative in USA #907,Reforestation Initiative,USA,Green Growth Initiative,1780,2019,2030,0.87,0.41,13480,Government,66,Geothermal,293826,yes,98,National,1365286,48464,887
Climate Education Program in Japan #908,Climate Education Program,Japan,Global Renewable Group,1922,2025,2033,0.83,0.47,10034,Private Sector,69,None,30973,yes,50,National,228998,46342,376
Emission Control Program in Australia #909,Emission Control Program,Australia,Eco Warriors,1456,2020,2025,0.73,0.07,77048,International Aid,92,None,262760,yes,93,National,1306081,14267,869
Green Infrastructure Development in Japan #910,Green Infrastructure Development,Japan,Green Earth Alliance,1864,2011,2021,0.92,0.95,14560,Private Sector,84,None,63767,yes,73,National,1324884,40709,363
Clean Transportation Initiative in Brazil #911,Clean Transportation Initiative,Brazil,Eco Innovation Lab,1071,2024,2037,0.77,0.26,33498,Private Sector,57,Geothermal,165752,yes,53,National,1477419,4984,463
Sustainable Agriculture Program in Japan #912,Sustainable Agriculture Program,Japan,Eco Innovation Lab,84,2011,2026,0.97,0.75,11685,International Aid,93,Geothermal,492372,yes,90,International,378868,39476,835
Energy Efficiency Campaign in China #913,Energy Efficiency Campaign,China,Climate Action Network,497,2022,2034,0.38,0.3,17780,International Aid,51,Solar,417592,no,65,International,152901,27879,414
Renewable Energy Project in Canada #914,Renewable Energy Project,Canada,Green Earth Alliance,356,2016,2031,0.92,0.43,95567,Government,72,Geothermal,443563,no,95,International,1814414,7732,722
Emission Control Program in China #915,Emission Control Program,China,Earth Guardians,1709,2013,2022,0.68,0.24,92422,Private Sector,55,None,75527,yes,74,International,1269422,10687,687
Clean Transportation Initiative in UK #916,Clean Transportation Initiative,UK,Green Growth Initiative,1627,2024,2033,0.66,0.55,56047,Private Sector,53,Solar,331545,yes,99,National,1538191,46978,99
Renewable Energy Project in India #917,Renewable Energy Project,India,Eco Innovation Lab,147,2020,2031,0.71,0.61,38053,International Aid,66,Hydropower,288780,yes,96,International,350458,46644,902
Emission Control Program in Australia #918,Emission Control Program,Australia,Earth Guardians,1445,2016,2025,0.65,0.94,77415,Private Sector,69,None,400257,no,99,International,1758595,41720,860
Emission Control Program in Germany #919,Emission Control Program,Germany,Global Renewable Group,414,2011,2018,0.71,0.29,49841,Government,51,Geothermal,390491,no,82,National,1635214,16870,871
Reforestation Initiative in France #920,Reforestation Initiative,France,Climate Action Network,1769,2020,2026,0.68,0.51,75995,Government,86,Hydropower,166091,yes,75,National,995222,3828,483
Energy Efficiency Campaign in Canada #921,Energy Efficiency Campaign,Canada,Clean Energy Foundation,1383,2010,2023,0.05,0.36,57959,Government,64,Geothermal,73172,no,56,International,62351,10566,807
Climate Education Program in France #922,Climate Education Program,France,Eco Warriors,1058,2011,2016,0.66,0.77,80290,Private Sector,70,Geothermal,488143,yes,90,International,52901,46415,93
Sustainable Agriculture Program in Canada #923,Sustainable Agriculture Program,Canada,Earth Guardians,1606,2025,2034,0.88,0.33,48713,International Aid,91,Wind,61504,no,87,International,621836,42334,75
Water Conservation Project in France #924,Water Conservation Project,France,Global Renewable Group,1040,2023,2033,0.55,0.5,21352,Private Sector,69,Geothermal,273337,no,62,International,1570181,2517,976
Energy Efficiency Campaign in Germany #925,Energy Efficiency Campaign,Germany,Sustainable Future Org,738,2017,2030,0.33,0.91,57889,Private Sector,53,Wind,230865,yes,99,International,1928114,9769,635
Emission Control Program in Germany #926,Emission Control Program,Germany,Clean Energy Foundation,589,2016,2023,0.26,0.31,51803,International Aid,61,Wind,389612,no,51,National,1266855,15766,186
Water Conservation Project in UK #927,Water Conservation Project,UK,Earth Guardians,1483,2011,2022,0.87,0.85,43088,Government,92,Bioenergy,423789,no,50,International,1795508,28463,974
Sustainable Agriculture Program in Germany #928,Sustainable Agriculture Program,Germany,Green Growth Initiative,1453,2025,2039,0.67,0.08,12704,Private Sector,79,Solar,469414,no,100,National,1016491,44257,794
Reforestation Initiative in UK #929,Reforestation Initiative,UK,Zero Emissions Initiative,965,2018,2027,0.06,0.71,50910,Private Sector,68,Geothermal,263449,no,93,National,1254126,28721,819
Clean Transportation Initiative in Japan #930,Clean Transportation Initiative,Japan,Sustainable Future Org,744,2016,2028,0.14,0.84,94947,International Aid,65,Hydropower,330183,no,91,International,562278,12249,18
Energy Efficiency Campaign in Japan #931,Energy Efficiency Campaign,Japan,Zero Emissions Initiative,1106,2021,2036,0.81,0.5,86382,Private Sector,73,None,173168,yes,62,International,1394379,11424,547
Green Infrastructure Development in Australia #932,Green Infrastructure Development,Australia,Green Earth Alliance,403,2025,2040,0.69,0.51,48935,International Aid,51,Wind,170995,yes,100,National,1854584,35615,533
Reforestation Initiative in Japan #933,Reforestation Initiative,Japan,Green Earth Alliance,78,2020,2035,0.6,0.95,21780,Private Sector,55,Bioenergy,254952,yes,58,International,1285445,21645,499
Reforestation Initiative in Germany #934,Reforestation Initiative,Germany,Eco Innovation Lab,1199,2012,2026,0.64,0.85,69505,Government,56,None,394186,no,51,National,1651932,20506,290
Emission Control Program in USA #935,Emission Control Program,USA,Green Growth Initiative,782,2021,2030,0.41,0.53,61773,Government,94,Wind,368214,yes,96,International,1297090,30263,825
Reforestation Initiative in India #936,Reforestation Initiative,India,Earth Guardians,439,2013,2021,0.68,0.64,43513,Private Sector,64,Wind,105831,no,63,International,717710,8749,808
Reforestation Initiative in Japan #937,Reforestation Initiative,Japan,Clean Energy Foundation,1099,2022,2028,0.35,0.21,3036,International Aid,79,Solar,43549,no,83,National,966495,46528,401
Waste Management Plan in France #938,Waste Management Plan,France,Clean Energy Foundation,198,2016,2021,0.58,0.78,86942,International Aid,52,None,283542,no,77,National,1803212,9920,899
Clean Transportation Initiative in UK #939,Clean Transportation Initiative,UK,Green Earth Alliance,941,2023,2032,0.69,0.74,50107,International Aid,80,Geothermal,394284,no,89,National,1316985,38944,353
Clean Transportation Initiative in Germany #940,Clean Transportation Initiative,Germany,Green Earth Alliance,1672,2014,2025,0.72,0.37,91973,International Aid,83,Solar,207137,no,95,National,121336,36940,898
Clean Transportation Initiative in Japan #941,Clean Transportation Initiative,Japan,Eco Innovation Lab,974,2023,2029,0.75,0.98,71728,Private Sector,94,Geothermal,59932,no,90,International,376058,46187,751
Sustainable Agriculture Program in Canada #942,Sustainable Agriculture Program,Canada,Eco Innovation Lab,1703,2020,2025,0.75,0.39,7186,Private Sector,94,Hydropower,307526,yes,77,International,441941,45030,713
Reforestation Initiative in France #943,Reforestation Initiative,France,Green Growth Initiative,112,2021,2033,0.34,0.3,71151,Private Sector,100,Geothermal,228957,yes,65,International,598129,49171,627
Sustainable Agriculture Program in UK #944,Sustainable Agriculture Program,UK,Earth Guardians,1605,2010,2017,0.18,0.69,82266,Private Sector,95,Bioenergy,457784,yes,56,International,17205,2185,407
Renewable Energy Project in Brazil #945,Renewable Energy Project,Brazil,Earth Guardians,1925,2013,2018,0.95,0.46,40923,Private Sector,50,Wind,121559,yes,98,International,1292571,46848,543
Green Infrastructure Development in Germany #946,Green Infrastructure Development,Germany,Global Renewable Group,227,2013,2018,0.53,0.83,15709,Private Sector,96,None,430816,no,55,International,912081,25406,720
Emission Control Program in UK #947,Emission Control Program,UK,Eco Innovation Lab,95,2022,2035,0.31,0.4,71161,International Aid,81,Hydropower,200521,yes,63,National,1022970,20854,609
Energy Efficiency Campaign in UK #948,Energy Efficiency Campaign,UK,Global Renewable Group,1304,2010,2017,0.75,0.82,87556,Government,96,Hydropower,287992,no,67,International,542483,18855,832
Clean Transportation Initiative in Brazil #949,Clean Transportation Initiative,Brazil,Sustainable Future Org,796,2011,2020,0.13,0.07,36404,International Aid,98,None,69662,no,56,National,1091055,37317,852
Renewable Energy Project in USA #950,Renewable Energy Project,USA,Global Renewable Group,429,2014,2027,0.78,0.57,40997,Private Sector,100,Geothermal,161013,yes,67,National,569789,16763,947
Waste Management Plan in UK #951,Waste Management Plan,UK,Clean Energy Foundation,1509,2016,2028,0.57,0.32,95678,International Aid,80,Bioenergy,470005,no,54,National,1472199,37392,919
Sustainable Agriculture Program in Japan #952,Sustainable Agriculture Program,Japan,Clean Energy Foundation,470,2015,2021,0.5,0.41,76623,International Aid,94,Bioenergy,441579,no,76,International,1213563,14063,211
Energy Efficiency Campaign in Australia #953,Energy Efficiency Campaign,Australia,Zero Emissions Initiative,105,2022,2032,0.97,0.81,31546,Private Sector,52,Geothermal,219374,no,77,National,975519,2201,82
